wav,flam
3776.7,3.453e-15
3802.3,3.714e-15
3827.9,3.885e-15
3853.4,3.814e-15
3879.0,3.916e-15
3904.6,3.868e-15
3930.1,3.297e-15
3955.7,3.234e-15
3981.3,3.353e-15
4006.8,3.86e-15
4032.4,3.806e-15
4058.0,3.856e-15
4083.6,3.89e-15
4109.1,4.051e-15
4134.7,3.944e-15
4160.3,3.88e-15
4185.8,3.954e-15
4211.4,3.905e-15
4237.0,3.834e-15
4262.6,3.844e-15
4288.1,3.657e-15
4313.7,3.574e-15
4339.3,3.756e-15
4364.8,3.796e-15
4390.4,3.684e-15
4416.0,3.744e-15
4441.6,3.8e-15
4467.1,3.765e-15
4492.7,3.847e-15
4518.3,3.837e-15
4543.8,3.753e-15
4569.4,3.812e-15
4595.0,3.908e-15
4620.5,3.991e-15
4646.1,3.986e-15
4671.7,4.006e-15
4697.3,4.011e-15
4722.8,3.997e-15
4748.4,3.932e-15
4774.0,4.015e-15
4799.5,3.957e-15
4825.1,4.04e-15
4850.7,4.019e-15
4876.3,3.974e-15
4901.8,3.999e-15
4927.4,4.059e-15
4953.0,4.133e-15
4978.5,4.102e-15
5004.1,4.077e-15
5029.7,4.03e-15
5055.3,4.035e-15
5080.8,4.039e-15
5106.4,3.968e-15
5132.0,3.889e-15
5157.5,3.798e-15
5183.1,3.701e-15
5208.7,3.743e-15
5234.2,3.736e-15
5259.8,3.705e-15
5285.4,3.684e-15
5311.0,3.703e-15
5336.5,3.71e-15
5362.1,3.733e-15
5387.7,3.779e-15
5413.2,3.754e-15
5438.8,3.825e-15
5464.4,3.831e-15
5490.0,3.856e-15
5515.5,3.797e-15
5541.1,3.809e-15
5566.7,3.872e-15
5592.2,3.965e-15
5617.8,3.891e-15
5643.4,3.903e-15
5668.9,3.816e-15
5694.5,3.844e-15
5720.1,3.86e-15
5745.7,3.866e-15
5771.2,3.757e-15
5796.8,3.732e-15
5822.4,3.793e-15
5847.9,3.815e-15
5873.5,3.724e-15
5899.1,3.649e-15
5924.7,3.618e-15
5950.2,3.665e-15
5975.8,3.671e-15
6001.4,3.65e-15
6026.9,3.611e-15
6052.5,3.59e-15
6078.1,3.586e-15
6103.7,3.553e-15
6129.2,3.559e-15
6154.8,3.486e-15
6180.4,3.502e-15
6205.9,3.537e-15
6231.5,3.533e-15
6257.1,3.502e-15
6282.6,3.477e-15
6308.2,3.521e-15
6333.8,3.489e-15
6359.4,3.479e-15
6384.9,3.498e-15
6410.5,3.476e-15
6436.1,3.443e-15
6461.6,3.428e-15
6487.2,3.458e-15
6512.8,3.503e-15
6538.4,3.508e-15
6563.9,3.551e-15
6589.5,3.494e-15
6615.1,3.386e-15
6640.6,3.364e-15
6666.2,3.347e-15
6691.8,3.305e-15
6717.4,3.29e-15
6742.9,3.279e-15
6768.5,3.251e-15
6794.1,3.252e-15
6819.6,3.259e-15
6845.2,3.262e-15
6870.8,3.248e-15
6896.3,3.167e-15
6921.9,3.09e-15
6947.5,3.046e-15
6973.1,3.028e-15
6998.6,3.022e-15
7024.2,3.016e-15
7049.8,3e-15
7075.3,2.976e-15
7100.9,2.974e-15
7126.5,2.98e-15
7152.1,2.99e-15
7177.6,2.967e-15
7203.2,2.919e-15
7228.8,2.88e-15
7254.3,2.879e-15
7279.9,2.86e-15
7305.5,2.855e-15
7331.1,2.87e-15
7356.6,2.878e-15
7382.2,2.865e-15
7407.8,2.844e-15
7433.3,2.837e-15
7458.9,2.841e-15
7484.5,2.831e-15
7510.0,2.834e-15
7535.6,2.873e-15
7561.2,2.922e-15
7586.8,2.913e-15
7612.3,2.806e-15
7637.9,2.664e-15
7663.5,2.567e-15
7689.0,2.567e-15
7714.6,2.608e-15
7740.2,2.662e-15
7765.8,2.673e-15
7791.3,2.657e-15
7816.9,2.645e-15
7842.5,2.646e-15
7868.0,2.644e-15
7893.6,2.629e-15
7919.2,2.604e-15
7944.7,2.576e-15
7970.3,2.573e-15
7995.9,2.547e-15
8021.5,2.525e-15
8047.0,2.525e-15
8072.6,2.504e-15
8098.2,2.501e-15
8123.7,2.481e-15
8149.3,2.458e-15
8174.9,2.441e-15
8200.5,2.404e-15
8226.0,2.37e-15
8251.6,2.39e-15
8277.2,2.42e-15
8302.7,2.422e-15
8328.3,2.442e-15
8353.9,2.455e-15
8379.5,2.432e-15
8405.0,2.442e-15
8430.6,2.463e-15
8456.2,2.458e-15
8481.7,2.448e-15
8507.3,2.453e-15
8532.9,2.455e-15
8558.4,2.483e-15
8584.0,2.486e-15
8609.6,2.47e-15
8635.2,2.45e-15
8660.7,2.411e-15
8686.3,2.388e-15
8711.9,2.412e-15
8737.4,2.418e-15
8763.0,2.415e-15
8788.6,2.423e-15
8814.2,2.415e-15
8839.7,2.407e-15
8865.3,2.395e-15
8890.9,2.374e-15
8916.4,2.379e-15
8942.0,2.403e-15
8967.6,2.389e-15
8993.2,2.336e-15
9018.7,2.275e-15
9044.3,2.218e-15
9069.9,2.194e-15
9095.4,2.204e-15
9121.0,2.233e-15
9146.6,2.239e-15
9172.1,2.227e-15
9197.7,2.202e-15
9223.3,2.161e-15
