,wav,flam
0,5586.323623137723,139.62039265610034
1,5586.324331724939,137.92723785689697
2,5587.408161014244,146.6738893343607
3,5588.087199611255,153.29008915608577
4,5589.1718254085,161.83649849999534
5,5590.115131120377,157.73745343662193
6,5590.734043711053,152.69263593786746
7,5591.616654358454,159.0625585855894
8,5592.703156487488,162.11363025925442
9,5593.383454703041,165.66806670424089
10,5594.471083886808,165.824619600524
11,5595.151843823589,162.19434916816124
12,5596.240081411012,153.9387939889443
13,5597.186446722524,153.3699055949891
14,5598.071528774818,152.15836599139098
15,5598.692469911056,150.04064879323647
16,5599.782125446751,152.9189988134325
17,5600.46466892679,153.9276373857564
18,5601.555127676219,173.2696336256989
19,5602.238219318384,177.71410120027554
20,5603.329645404069,185.47486581229248
21,5604.013170160389,184.8984694682798
22,5605.105226118881,182.3419145795575
23,5606.055180153683,177.42501173627653
24,5606.9437396220455,172.56619580944
25,5607.566391651328,175.68427804690242
26,5608.6609342818665,172.9763071142362
27,5609.345455436122,168.1433973487534
28,5610.440269474576,159.5487940187004
29,5611.125446918579,150.57197677492084
30,5612.015935393845,148.0967721502762
31,5612.906706557255,147.26575303032737
32,5614.003381989225,157.97113691953064
33,5614.956893992699,159.28951213457233
34,5615.581630768319,159.23515187542424
35,5616.473071670699,161.12198655267358
36,5617.571950680606,155.8329446342014
37,5618.259184405132,149.8995058726676
38,5619.35757391373,146.50888846771593
39,5620.313437511502,141.47737733373395
40,5620.939192659004,142.2628367546536
41,5621.83271263933,144.03745519524074
42,5622.933962156574,151.62993465778217
43,5623.890746187836,162.0633309328661
44,5624.516886895617,169.90766860503805
45,5625.619163359113,178.80247034053207
46,5626.577175186222,187.6561966856069
47,5627.204245639203,183.49017048409945
48,5628.307182176531,184.45482442539128
49,5628.996938059311,188.76061226812737
50,5630.101078570707,179.4957532659507
51,5631.060600118814,171.72231281076978
52,5631.688622589731,167.67598749295516
53,5632.586265001456,164.66908229076202
54,5633.6917210126085,161.23095482075874
55,5634.6531783147375,165.79703205001138
56,5635.281717163793,163.70463394771937
57,5636.388432288766,164.83897403488965
58,5637.080455450143,170.9522726664526
59,5638.187127561323,177.47383030960793
60,5638.879705869919,182.7214282311386
61,5639.9881281441285,187.49069627461478
62,5640.951441502972,190.43960330512152
63,5641.581381850573,192.50363464149623
64,5642.690894192613,197.14439836556582
65,5643.384500422406,196.315633997368
66,5644.4944529201575,193.6151462882535
67,5645.45962716728,193.03111495186974
68,5646.090497225898,187.92720008241574
69,5647.201804034978,187.97751297162998
70,5647.896649619696,184.97936295534413
71,5649.0084733561425,184.1235822364462
72,5649.9748333631405,174.77996961147102
73,5650.607079487335,170.40243621317367
74,5651.51090023753,172.3410603737695
75,5652.416066861112,161.88830889914018
76,5653.529869805742,158.84310622327058
77,5654.497582064051,166.9467168701689
78,5655.131253839846,167.16551510420686
79,5656.036566243181,169.68871121174763
80,5657.151966753668,169.81634400162702
81,5657.849184759526,172.45282391863202
82,5658.7553369085535,175.72046174543158
83,5659.66205268957,179.9265054194942
84,5660.569355025322,174.05703469842817
85,5661.68679442308,169.9999286713458
86,5662.65783393759,170.27175259991574
87,5663.293109736227,170.8622039454927
88,5664.410828232422,175.5851660107335
89,5665.109483318448,179.6747516059219
90,5666.228925169966,196.75522067926843
91,5666.928070653138,201.10877001237134
92,5667.837028329006,203.68350467142434
93,5668.746802486361,207.53405676419203
