wav,flam
3061.3987,9.49789e-17
3063.3455,1.89614e-16
3065.293,-1.64352e-16
3067.2407,-9.0786e-17
3069.1895,6.44847e-17
3071.1387,5.71748e-16
3073.0884,9.02382e-19
3075.0388,1.5703e-16
3076.9897,-1.17895e-16
3078.9412,1.59789e-16
3080.8933,1.7362e-16
3082.8462,4.1829e-17
3084.7996,5.14009e-16
3086.7534,2.95989e-16
3088.708,-7.39019e-17
3090.6631,4.06455e-17
3092.6187,1.32212e-16
3094.575,1.39478e-16
3096.532,-6.10936e-18
3098.4895,7.74874e-17
3100.4475,-1.14394e-16
3102.406,-1.98536e-16
3104.3652,7.51365e-17
3106.3252,1.19305e-16
3108.2854,1.57923e-17
3110.2466,1.5254e-16
3112.208,2.20548e-16
3114.1702,1.14939e-16
3116.1328,1.89142e-16
3118.0962,2.13352e-16
3120.0601,-4.25389e-17
3122.0247,2.12009e-16
3123.9895,5.12083e-17
3125.9553,3.45715e-17
3127.9214,4.62642e-17
3129.8882,4.86996e-17
3131.8557,3.18299e-16
3133.8235,8.99126e-17
3135.792,-1.51449e-17
3137.761,1.12648e-16
3139.7307,6.51605e-17
3141.7009,2.04549e-16
3143.6716,3.86869e-17
3145.6431,1.10599e-16
3147.615,1.38801e-16
3149.5874,1.30728e-16
3151.5605,1.57819e-16
3153.5342,8.47838e-17
3155.5083,1.26909e-16
3157.4832,1.71437e-16
3159.4585,2.99474e-16
3161.4341,2.20827e-16
3163.4106,1.15499e-16
3165.3877,1.84528e-16
3167.3652,1.40983e-16
3169.3435,3.06291e-16
3171.322,1.1433e-16
3173.3013,2.11561e-16
3175.281,2.65788e-16
3177.2615,1.08663e-16
3179.2422,1.81052e-16
3181.2239,2.05359e-16
3183.2058,1.46213e-16
3185.1885,1.63137e-16
3187.1714,1.63823e-16
3189.1553,1.74241e-16
3191.1394,1.67017e-16
3193.1243,1.76233e-16
3195.1096,2.45103e-16
3197.0955,1.20435e-16
3199.0818,1.72319e-16
3201.0688,2.35567e-16
3203.0564,9.11049e-17
3205.0444,2.3794e-16
3207.0332,1.10966e-16
3209.0222,1.73795e-16
3211.012,1.01416e-16
3213.0022,2.33972e-16
3214.9929,1.99786e-16
3216.9844,2.13825e-16
3218.9763,1.38853e-16
3220.9685,1.60913e-16
3222.9614,2.15324e-16
3224.9551,4.6664e-17
3226.9492,2.19371e-16
3228.9436,9.38383e-17
3230.9387,1.22593e-16
3232.9343,9.31666e-17
3234.9304,1.00899e-16
3236.9272,1.56072e-16
3238.9246,2.59911e-16
3240.9221,2.6826e-16
3242.9204,2.24415e-16
3244.9194,1.49295e-16
3246.9187,2.11322e-16
3248.9187,1.23566e-16
3250.9189,2.46679e-16
3252.9199,2.81944e-16
3254.9214,3.1574e-16
3256.9236,2.31949e-16
3258.926,2.92495e-16
3260.929,2.16262e-16
3262.9326,2.31014e-16
3264.9368,2.00976e-16
3266.9414,2.71046e-16
3268.9465,2.0947e-16
3270.9521,1.60367e-16
3272.9583,2.68302e-16
3274.9651,2.09151e-16
3276.9722,2.10296e-16
3278.98,2.2457e-16
3280.9883,2.2637e-16
3282.9971,1.37348e-16
3285.0063,2.67157e-16
3287.0161,2.17671e-16
3289.0264,3.04435e-16
3291.0371,2.90064e-16
3293.0486,2.92721e-16
3295.0603,2.71768e-16
3297.0728,2.61883e-16
3299.0857,2.25484e-16
3301.0991,2.32647e-16
3303.1128,2.15413e-16
3305.1272,2.49007e-16
3307.1421,2.33542e-16
3309.1577,2.66724e-16
3311.1736,2.68588e-16
3313.1899,2.3482e-16
3315.2068,2.42877e-16
3317.2244,2.21067e-16
3319.2422,2.25937e-16
3321.2605,2.25935e-16
3323.2795,2.38499e-16
3325.2991,2.30802e-16
3327.3188,2.56291e-16
3329.3394,2.22944e-16
3331.3604,2.35126e-16
3333.3816,2.05769e-16
3335.4036,1.81674e-16
3337.426,2.11191e-16
3339.449,2.51931e-16
3341.4724,2.18316e-16
3343.4961,2.2044e-16
3345.5205,2.49863e-16
3347.5454,2.37171e-16
3349.5708,2.58316e-16
3351.5967,2.56259e-16
3353.623,2.4232e-16
3355.6499,2.43454e-16
3357.6772,2.21184e-16
3359.7051,1.99119e-16
3361.7334,2.25332e-16
3363.7622,2.72319e-16
3365.7915,2.06864e-16
3367.821,2.66457e-16
3369.8513,2.89541e-16
3371.8821,2.75791e-16
3373.9133,2.9421e-16
