,wav,flam
0,3693.8994140625,0.27054334
1,3693.925509365989,0.16350845
2,3693.9516046694775,-0.022469
3,3693.9776999729665,0.008089959
4,3694.003795276455,0.0922001
5,3694.029890579944,0.026374463
6,3694.055985883433,-0.013521861
7,3694.0820811869216,0.18269986
8,3694.1081764904106,0.19864826
9,3694.1342717938996,0.15509251
10,3694.160367097388,0.13252348
11,3694.186462400877,0.16418578
12,3694.2125577043657,0.17759976
13,3694.2386530078547,0.047440328
14,3694.2647483113437,0.06915651
15,3694.2908436148323,-0.020738907
16,3694.3169389183213,0.026862599
17,3694.34303422181,0.083374515
18,3694.369129525299,0.1182539
19,3694.395224828788,0.039511826
20,3694.4213201322764,-0.071602926
21,3694.4474154357654,-0.005219747
22,3694.4735107392544,0.037377026
23,3694.499606042743,0.06505364
24,3694.525701346232,0.07330348
25,3694.5517966497205,0.064166896
26,3694.5778919532095,0.08061254
27,3694.6039872566985,0.0074216924
28,3694.630082560187,0.082344584
29,3694.656177863676,0.18311885
30,3694.6822731671646,0.032582328
31,3694.7083684706536,-0.053995136
32,3694.7344637741426,-0.047853712
33,3694.760559077631,-0.0063917423
34,3694.78665438112,0.03289412
35,3694.812749684609,-0.07692653
36,3694.8388449880977,0.08203661
37,3694.8649402915867,0.16789028
38,3694.891035595075,0.042518906
39,3694.917130898564,0.10156991
40,3694.943226202053,0.050677545
41,3694.9693215055418,0.068442374
42,3694.9954168090308,0.04025242
43,3695.0215121125193,0.13125406
44,3695.0476074160083,0.1046729
45,3695.0737027194973,0.06269788
46,3695.099798022986,0.015549281
47,3695.125893326475,0.07073257
48,3695.151988629964,0.10591895
49,3695.1780839334524,0.0035800654
50,3695.2041792369414,0.032775875
51,3695.23027454043,0.14231405
52,3695.256369843919,0.12463811
53,3695.282465147408,0.03560365
54,3695.3085604508965,0.08497333
55,3695.3346557543855,0.09363886
56,3695.360751057874,0.07277977
57,3695.386846361363,0.1750493
58,3695.412941664852,0.1057854
59,3695.4390369683406,0.08335925
60,3695.4651322718296,0.13184455
61,3695.4912275753186,0.089389324
62,3695.517322878807,0.12282597
63,3695.543418182296,0.061171416
64,3695.5695134857847,0.06997615
65,3695.5956087892737,0.10328618
66,3695.6217040927627,0.050294843
67,3695.6477993962512,0.058862165
68,3695.6738946997402,0.055771656
69,3695.699990003229,0.026414923
70,3695.726085306718,0.058577247
71,3695.752180610207,0.010886454
72,3695.7782759136953,-0.03256442
73,3695.8043712171843,0.066703714
74,3695.8304665206733,0.060110573
75,3695.856561824162,0.139743
76,3695.882657127651,0.06441428
77,3695.9087524311394,0.059084874
78,3695.9348477346284,0.099629305
79,3695.9609430381174,-0.004342108
80,3695.987038341606,0.009277567
81,3696.013133645095,0.03970116
82,3696.0392289485835,0.10398006
83,3696.0653242520725,0.10343508
84,3696.0914195555615,0.11412431
85,3696.11751485905,0.031837475
86,3696.143610162539,0.07416408
87,3696.169705466028,0.14043753
88,3696.1958007695166,0.060448132
89,3696.2218960730056,-0.015805434
90,3696.247991376494,0.07695623
91,3696.274086679983,0.09752914
92,3696.300181983472,-0.0038031132
93,3696.3262772869607,-0.025869424
94,3696.3523725904497,0.0045987726
95,3696.3784678939383,0.12185348
96,3696.4045631974273,0.0996176
97,3696.4306585009163,-0.03507341
98,3696.456753804405,0.06729077
99,3696.482849107894,0.1328966
100,3696.508944411383,0.068059675
101,3696.5350397148713,0.03351422
102,3696.5611350183603,-0.024330666
103,3696.587230321849,0.011782986
104,3696.613325625338,0.13352786
105,3696.639420928827,0.20353404
106,3696.6655162323154,0.113753214
107,3696.6916115358044,0.032523546
108,3696.717706839293,0.014730193
109,3696.743802142782,0.0644751
110,3696.769897446271,0.07060235
111,3696.7959927497595,0.088861994
112,3696.8220880532485,0.048899367
113,3696.8481833567375,-0.023840839
114,3696.874278660226,-0.022679996
115,3696.900373963715,-0.028643033
116,3696.9264692672036,0.041656278
117,3696.9525645706926,0.063722886
118,3696.9786598741816,0.0070014712
119,3697.00475517767,0.045787536
120,3697.030850481159,0.044974003
121,3697.0569457846477,0.0020477446
122,3697.0830410881367,0.039656207
123,3697.1091363916257,0.025932899
124,3697.1352316951143,-0.029527947
125,3697.1613269986033,0.03833481
126,3697.1874223020923,0.11456211
127,3697.213517605581,0.061920065
128,3697.23961290907,0.052054603
129,3697.2657082125584,0.12023046
130,3697.2918035160474,0.14315091
131,3697.3178988195364,0.07382541
132,3697.343994123025,0.029390426
133,3697.370089426514,0.04174126
134,3697.3961847300025,0.07860877
135,3697.4222800334915,0.09326143
136,3697.4483753369805,0.047107667
137,3697.474470640469,0.058538962
138,3697.500565943958,0.032776643
139,3697.526661247447,-0.011977006
140,3697.5527565509356,0.06726023
141,3697.5788518544246,0.118725814
142,3697.604947157913,0.06199986
143,3697.631042461402,0.01539866
144,3697.657137764891,0.05084689
145,3697.6832330683796,0.036564577
146,3697.7093283718687,0.013719099
147,3697.735423675357,0.057906657
148,3697.761518978846,0.1032087
149,3697.787614282335,0.05965273
150,3697.8137095858237,0.047196195
151,3697.8398048893127,0.011291138
152,3697.8659001928017,0.018259682
153,3697.8919954962903,0.06548646
154,3697.9180907997793,0.015036621
155,3697.944186103268,0.011269508
156,3697.970281406757,0.113868065
157,3697.996376710246,0.119804405
158,3698.0224720137344,0.100833066
159,3698.0485673172234,0.047378432
160,3698.074662620712,0.07178646
161,3698.100757924201,0.0122234905
162,3698.12685322769,0.029965
163,3698.1529485311785,0.07566011
164,3698.1790438346675,0.04395556
165,3698.2051391381565,0.0042616627
166,3698.231234441645,0.029683724
167,3698.257329745134,0.04627923
168,3698.2834250486226,0.050054353
169,3698.3095203521116,0.06250685
170,3698.3356156556006,0.062722355
171,3698.361710959089,0.040281557
172,3698.387806262578,0.031299703
173,3698.413901566067,0.07227516
174,3698.4399968695557,0.10914101
175,3698.4660921730447,0.08152835
176,3698.492187476533,0.000110266694
177,3698.518282780022,0.0067031947
178,3698.544378083511,0.032321204
179,3698.5704733869998,0.11294932
180,3698.5965686904888,0.16864274
181,3698.6226639939773,0.060551688
182,3698.6487592974663,0.036961
183,3698.6748546009553,0.09422374
184,3698.700949904444,0.07096431
185,3698.727045207933,0.041780442
186,3698.753140511422,0.016362257
187,3698.7792358149104,0.00032473437
188,3698.8053311183994,0.0039806743
189,3698.831426421888,0.04657991
190,3698.857521725377,0.08849509
191,3698.883617028866,0.040517896
192,3698.9097123323545,-0.00028273842
193,3698.9358076358435,0.036111575
194,3698.961902939332,0.110216774
195,3698.987998242821,0.075167894
196,3699.01409354631,0.04701775
197,3699.0401888497986,0.08624148
198,3699.0662841532876,0.07545867
199,3699.0923794567766,0.02261602
200,3699.118474760265,0.05684952
201,3699.144570063754,0.11255777
202,3699.1706653672427,0.09536696
203,3699.1967606707317,0.043772876
204,3699.2228559742207,0.039011084
205,3699.2489512777092,0.03950954
206,3699.2750465811982,0.033790022
207,3699.301141884687,0.016351286
208,3699.327237188176,0.05008109
209,3699.353332491665,0.04142856
210,3699.3794277951533,0.03157945
211,3699.4055230986423,0.025618942
212,3699.4316184021313,0.06546983
213,3699.45771370562,0.06908671
214,3699.483809009109,0.08217705
215,3699.5099043125974,0.09313716
216,3699.5359996160864,0.014284316
217,3699.5620949195754,-0.006619593
218,3699.588190223064,-0.00038836172
219,3699.614285526553,0.048620053
220,3699.6403808300415,0.0486515
221,3699.6664761335305,0.0668083
222,3699.6925714370195,0.050419267
223,3699.718666740508,0.039019432
224,3699.744762043997,0.07915863
225,3699.770857347486,0.0935209
226,3699.7969526509746,0.072943024
227,3699.8230479544636,0.0005062318
228,3699.849143257952,0.004187881
229,3699.875238561441,0.02205775
230,3699.90133386493,0.02222688
231,3699.9274291684187,0.048828606
232,3699.9535244719077,0.093735844
233,3699.9796197753963,0.11303637
234,3700.0057150788853,0.10515997
235,3700.0318103823743,0.061998077
236,3700.057905685863,0.03103883
237,3700.084000989352,0.052073278
238,3700.110096292841,0.03752086
239,3700.1361915963294,-0.008050668
240,3700.1622868998184,0.027209803
241,3700.188382203307,0.07946519
242,3700.214477506796,0.07015243
243,3700.240572810285,0.04453714
244,3700.2666681137734,0.027981969
245,3700.2927634172624,0.052728143
246,3700.318858720751,0.015929954
247,3700.34495402424,-0.06988805
248,3700.371049327729,-0.042646304
249,3700.3971446312175,0.04222512
250,3700.4232399347065,0.10282929
251,3700.4493352381955,0.13602535
252,3700.475430541684,0.09691401
253,3700.501525845173,0.04385891
254,3700.5276211486616,0.049683418
255,3700.5537164521506,0.02858181
256,3700.5798117556396,0.014992792
257,3700.605907059128,0.0023342392
258,3700.632002362617,0.009295313
259,3700.6580976661057,0.046992246
260,3700.6841929695947,0.06276378
261,3700.7102882730837,0.07030443
262,3700.7363835765723,0.008024234
263,3700.7624788800613,0.023895513
264,3700.7885741835503,0.028117148
265,3700.814669487039,0.026226498
266,3700.840764790528,0.034402084
267,3700.8668600940164,0.04326549
268,3700.8929553975054,0.032820553
269,3700.9190507009944,0.02801874
270,3700.945146004483,0.010430437
271,3700.971241307972,0.06834725
272,3700.9973366114605,0.04223579
273,3701.0234319149495,0.03766106
274,3701.0495272184385,0.041361693
275,3701.075622521927,0.0057964446
276,3701.101717825416,0.0007181509
277,3701.127813128905,0.041758362
278,3701.1539084323936,0.05220634
279,3701.1800037358826,0.027486045
280,3701.206099039371,0.076960884
281,3701.23219434286,0.066798426
282,3701.258289646349,0.036307596
283,3701.2843849498377,0.048086222
284,3701.3104802533267,0.052177895
285,3701.336575556815,0.01094454
286,3701.362670860304,0.026294012
287,3701.388766163793,0.06670435
288,3701.4148614672818,0.0566595
289,3701.4409567707708,0.046797663
290,3701.4670520742598,0.037957508
291,3701.4931473777483,0.048861023
292,3701.5192426812373,0.0496918
293,3701.545337984726,0.015666533
294,3701.571433288215,-0.013992589
295,3701.597528591704,0.0114022605
296,3701.6236238951924,0.04744291
297,3701.6497191986814,0.06935157
298,3701.67581450217,0.031190835
299,3701.701909805659,0.021455705
300,3701.728005109148,0.035679284
301,3701.7541004126365,0.01530435
302,3701.7801957161255,0.0038876398
303,3701.8062910196145,-0.0033728215
304,3701.832386323103,0.019950684
305,3701.858481626592,0.03863915
306,3701.8845769300806,0.035999555
307,3701.9106722335696,0.019383293
308,3701.9367675370586,-0.004863876
309,3701.962862840547,0.039422423
310,3701.988958144036,0.059872642
311,3702.0150534475247,-0.0016885216
312,3702.0411487510137,0.0068719536
313,3702.0672440545027,0.028200185
314,3702.093339357991,-0.031670924
315,3702.11943466148,-0.031599775
316,3702.1455299649692,0.048465896
317,3702.171625268458,0.082496196
318,3702.197720571947,0.025048584
319,3702.2238158754353,0.013990111
320,3702.2499111789243,0.017925661
321,3702.2760064824133,0.049032994
322,3702.302101785902,0.076849505
323,3702.328197089391,0.06822607
324,3702.3542923928794,0.054430004
325,3702.3803876963684,0.06009509
326,3702.4064829998574,0.044665273
327,3702.432578303346,0.013702168
328,3702.458673606835,0.022353372
329,3702.484768910324,0.013426777
330,3702.5108642138125,0.009883962
331,3702.5369595173015,0.013665808
332,3702.56305482079,0.0328204
333,3702.589150124279,0.034361694
334,3702.615245427768,0.050309982
335,3702.6413407312566,0.023983685
336,3702.6674360347456,0.040410038
337,3702.693531338234,0.020582922
338,3702.719626641723,0.019810397
339,3702.745721945212,0.03410951
340,3702.7718172487007,0.0132484725
341,3702.7979125521897,0.0016844888
342,3702.8240078556787,0.024902217
343,3702.8501031591672,0.048037633
344,3702.8761984626562,0.05209446
345,3702.902293766145,0.009479775
346,3702.928389069634,0.006984185
347,3702.954484373123,0.036950834
348,3702.9805796766113,0.049006052
349,3703.0066749801003,0.054122314
350,3703.032770283589,0.052997313
351,3703.058865587078,0.042652134
352,3703.084960890567,0.047510337
353,3703.1110561940554,0.01392781
354,3703.1371514975444,0.032735668
355,3703.1632468010334,0.053162593
356,3703.189342104522,0.06571151
357,3703.215437408011,0.07122319
358,3703.2415327114995,0.0679515
359,3703.2676280149885,0.015590653
360,3703.2937233184775,0.009798347
361,3703.319818621966,0.053719547
362,3703.345913925455,0.061435826
363,3703.3720092289436,0.025725402
364,3703.3981045324326,0.01565035
365,3703.4241998359216,0.01993331
366,3703.45029513941,0.012607934
367,3703.476390442899,0.015893405
368,3703.502485746388,0.009764541
369,3703.5285810498767,-0.0074224956
370,3703.5546763533657,0.037345655
371,3703.5807716568543,0.033823006
372,3703.6068669603433,0.0043495176
373,3703.6329622638323,0.030005949
374,3703.659057567321,0.068253785
375,3703.68515287081,0.020437628
376,3703.7112481742984,0.022803668
377,3703.7373434777874,0.030871587
378,3703.7634387812764,0.04325068
379,3703.789534084765,0.05571353
380,3703.815629388254,0.010638426
381,3703.841724691743,0.0054391134
382,3703.8678199952315,0.06551399
383,3703.8939152987205,0.069880664
384,3703.920010602209,0.010836888
385,3703.946105905698,0.032526564
386,3703.972201209187,0.04615343
387,3703.9982965126756,0.050898004
388,3704.0243918161646,0.07153637
389,3704.050487119653,0.0488472
390,3704.076582423142,0.05043929
391,3704.102677726631,0.02242374
392,3704.1287730301196,0.026705466
393,3704.1548683336086,0.08362217
394,3704.1809636370976,0.11252361
395,3704.207058940586,0.0817747
396,3704.233154244075,0.010989338
397,3704.2592495475637,0.026700098
398,3704.2853448510527,0.08314237
399,3704.3114401545417,0.08633779
400,3704.3375354580303,0.07086563
401,3704.3636307615193,0.047609206
402,3704.389726065008,0.04559521
403,3704.415821368497,0.051858023
404,3704.441916671986,0.041335516
405,3704.4680119754744,0.044901025
406,3704.4941072789634,0.07921589
407,3704.5202025824524,0.045898307
408,3704.546297885941,-0.004358258
409,3704.57239318943,0.018927248
410,3704.5984884929185,-0.0033729335
411,3704.6245837964075,0.0034592538
412,3704.6506790998965,0.025953593
413,3704.676774403385,0.02495236
414,3704.702869706874,0.030494098
415,3704.7289650103626,-0.005940634
416,3704.7550603138516,-0.018257583
417,3704.7811556173406,0.02394735
418,3704.807250920829,0.0616135
419,3704.833346224318,0.029975709
420,3704.859441527807,0.0052357805
421,3704.8855368312957,-0.010244911
422,3704.9116321347847,0.01473388
423,3704.937727438273,0.052819666
424,3704.963822741762,0.057969425
425,3704.989918045251,0.04089325
426,3705.0160133487398,0.031809635
427,3705.0421086522288,0.013318371
428,3705.0682039557173,0.020959323
429,3705.0942992592063,0.026098257
430,3705.1203945626953,0.022598062
431,3705.146489866184,0.011619835
432,3705.172585169673,0.015138964
433,3705.198680473162,0.025593424
434,3705.2247757766504,0.0055732364
435,3705.2508710801394,-0.0011500373
436,3705.276966383628,0.046443306
437,3705.303061687117,0.06284872
438,3705.329156990606,0.025106657
439,3705.3552522940945,0.029639363
440,3705.3813475975835,0.045319803
441,3705.407442901072,-0.0010584275
442,3705.433538204561,0.036207937
443,3705.45963350805,0.021760223
444,3705.4857288115386,-0.0073913727
445,3705.5118241150276,0.047633912
446,3705.5379194185166,0.034616176
447,3705.564014722005,0.02309313
448,3705.590110025494,0.023403926
449,3705.6162053289827,0.014475344
450,3705.6423006324717,0.061359927
451,3705.6683959359607,0.07816531
452,3705.6944912394492,0.03808097
453,3705.7205865429382,0.049411144
454,3705.746681846427,0.040170632
455,3705.772777149916,-0.008236311
456,3705.798872453405,0.029039904
457,3705.8249677568933,0.05238898
458,3705.8510630603823,0.035754308
459,3705.8771583638713,0.032453366
460,3705.90325366736,0.036201846
461,3705.929348970849,0.038350556
462,3705.9554442743374,0.0019075591
463,3705.9815395778264,0.028865248
464,3706.0076348813154,0.028980894
465,3706.033730184804,0.03798921
466,3706.059825488293,0.027487863
467,3706.0859207917815,0.035865992
468,3706.1120160952705,0.005585955
469,3706.1381113987595,0.00975611
470,3706.164206702248,0.013732622
471,3706.190302005737,0.023508761
472,3706.216397309226,0.053046253
473,3706.2424926127146,0.023944493
474,3706.2685879162036,-0.015021114
475,3706.294683219692,-0.0031536985
476,3706.320778523181,0.018733393
477,3706.34687382667,0.004039614
478,3706.3729691301587,0.0348738
479,3706.3990644336477,0.028837746
480,3706.4251597371363,0.0075743934
481,3706.4512550406253,0.042057622
482,3706.4773503441143,0.051998165
483,3706.503445647603,0.053199187
484,3706.529540951092,0.03920538
485,3706.555636254581,0.012015801
486,3706.5817315580694,0.034998924
