# Values from mcmc DUSTY fits to precursor data 
# MJD : Modified Julian Date
# Tstar : Effective temperature of the star [K]
# Tstar_min : Lower limit of the effective temperature [K]
# Tstar_max : Upper limit of the effective temperature [K]
# L : Luminosity of the star [erg/s]
# L_min : Lower limit of the luminosity [erg/s]
# L_max : Upper limit of the luminosity [erg/s]
# tdust : Dust shell temperature at inner boundary [K]
# tdust_min : Lower limit of the dust shell temperature [K]
# tdust_max : Upper limit of the dust shell temperature [K]
# tau : Optical depth of the dust shell in the V band
# tau_min : Lower limit of the optical depth
# tau_max : Upper limit of the optical depth
# r1 : Inner radius of the dust shell [cm]
# r1_min : Lower limit of the inner radius [cm]
# r1_max : Upper limit of the inner radius [cm]
# rstar : Stellar photospheric radius [R_sun]
# rstar_min : Lower limit of the stellar photospheric radius [R_sun]
# rstar_max : Upper limit of the stellar photospheric radius [R_sun]
# 
MJD,Tstar,Tstar_min,Tstar_max,L,L_min,L_max,tdust,tdust_min,tdust_max,tau,tau_min,tau_max,r1,r1_min,r1_max
58400.0,3802.4993169831982,3670.9255068329135,3936.842853545125,8.263450929724136e+37,7.725339524048081e+37,9.500125820227365e+37,1017.5784310609702,765.4137469820691,1277.8227153807647,0.36821781514798835,0.2828257451194536,0.4402677168487041,14.59652513186162,14.350296983770397,14.900238480643655
58435.75362318841,3789.108853941672,3666.937810857536,3936.8784400603768,8.310244562700503e+37,7.772414386045566e+37,9.410403541552019e+37,1045.0090315741404,776.2185697104273,1293.034115177254,0.35962627611940207,0.26897659015848724,0.4298613275833251,14.566662958482803,14.34046840810471,14.88440415312974
58471.50724637681,3783.6215830331967,3660.992531788037,3934.247912332856,8.455603780905135e+37,7.873623364941996e+37,9.548745169079956e+37,1030.3273625908248,774.3389865598549,1303.6640884021408,0.3618160362861747,0.2600838484739955,0.4332406828033523,14.587435117969516,14.337238094169399,14.888006115692548
58507.260869565216,3788.5432270027086,3664.753673465186,3927.862194470396,8.578754042732522e+37,7.967652819571818e+37,9.754130468862102e+37,1029.1660840733666,757.1855024707371,1300.5281827575511,0.3653055800078728,0.27244926534663855,0.4388627892065503,14.59013477466918,14.343562914494909,14.912608913165032
58543.01449275362,3796.1729158866938,3667.322508047775,3929.70484389328,8.606178022984611e+37,8.081428337211375e+37,9.730220729762689e+37,1055.103463259276,777.7158576521872,1304.429588662642,0.3653358385873169,0.2725863321258966,0.4365710881944255,14.558810926620897,14.343033358394637,14.89315270933128
58578.76811594203,3776.289820642427,3653.2935167688574,3922.974090333028,8.809714164454385e+37,8.229667503235886e+37,9.873109481096152e+37,1062.1556971178836,792.0857650697073,1324.8186857442158,0.35906368163661884,0.2632832902040007,0.43266799959166913,14.557294484984956,14.3375594442132,14.86859765534843
58614.52173913043,3801.0251977996895,3662.706310348164,3941.222016948813,8.870362151231564e+37,8.293963607489923e+37,9.913849692289808e+37,1089.1665371881977,807.9088555226542,1338.810713918978,0.3692628409578645,0.2715265125189821,0.43796722164233887,14.53129884348666,14.33861852369195,14.85791983071916
58650.27536231884,3798.6875470627583,3665.8382485847424,3938.7301387362686,8.922375912008903e+37,8.370689675236232e+37,1.0009063126172804e+38,1079.3966426961647,794.6525825066832,1323.0031046199072,0.36441229174464257,0.2720689684662266,0.43385405782494046,14.542305077254834,14.338595624013632,14.876851506402032
58686.02898550725,3804.481834328729,3665.62228290932,3945.0323451015697,8.93301345800036e+37,8.387746306070409e+37,1.0101422678629417e+38,1078.7191089060912,817.2850523931629,1339.4229730854727,0.3639470906560441,0.2744675219565795,0.4274318386579476,14.54771712332482,14.340164234900563,14.849693167520416
58721.782608695656,3818.706679035039,3678.005974267296,3947.169955966808,8.957516542282321e+37,8.411845106226187e+37,1.0089595459008854e+38,1083.041553103102,811.5931839523806,1348.2988345763856,0.3672131715392456,0.2915713505923655,0.4256542627175441,14.54192026884613,14.339555461431932,14.851913344035884
