# Values from mcmc blackbody fits to eruption data 
# MJD : Modified Julian Date
# Tstar : Effective temperature of the star [K]
# Tstar_min : Lower limit of the effective temperature [K]
# Tstar_max : Upper limit of the effective temperature [K]
# L : Luminosity of the star [erg/s]
# L_min : Lower limit of the luminosity [erg/s]
# L_max : Upper limit of the luminosity [erg/s]
# r : Stellar photospheric radius [cm]
# r_min : Lower limit of the stellar photospheric radius [cm]
# r_max : Upper limit of the stellar photospheric radius [cm]
# 
MJD,Tstar,Tstar_min,Tstar_max,L,L_min,L_max,r,r_min,r_max
60979.62135417014,6733.3866549846425,6184.293490485304,7416.6166930529935,2.6234335165451544e+39,2.4339749712125866e+39,2.8205778044725115e+39,42222007544673.53,35429544441457.54,49702762291862.695
60980.42998840008,6636.623636179281,6260.088512631936,7101.0526771801005,2.630738378654203e+39,2.5270633028791348e+39,2.742246580226961e+39,43606272972133.34,37719958988752.734,49697471444422.484
60980.58336806018,6777.528330511348,6390.999227895564,7248.282419323434,2.6918244011363145e+39,2.5974514178200057e+39,2.794791598761886e+39,42274392634047.67,36713145062597.61,48203829356676.16
60981.1587731,6542.217516901826,6194.462106578418,6983.154882264351,2.6484492731216553e+39,2.545502354064068e+39,2.7619971461390317e+39,45017167399945.66,39037242608109.07,51097173463717.73
60981.15923610004,6512.1983955285505,6151.386697058051,6948.269202722242,2.636393467974829e+39,2.5298532619421143e+39,2.756748732499404e+39,45356644694148.91,39299663800998.14,51708271802270.555
60981.58270832989,6661.237629648987,6260.808414968133,7136.375116952489,2.728226766764218e+39,2.6134689140494157e+39,2.8512585344863845e+39,44059400763302.33,38117804688664.38,50625072718950.484
60982.21902780001,6042.884314843135,5859.141969695474,6238.166065447051,2.941033726062814e+39,2.8336126752363567e+39,3.054065350444113e+39,55636983151284.266,51526551099964.19,60073132575660.266
60982.55659721977,5928.85705693538,5736.8840106543275,6131.566664899056,2.8440154580871544e+39,2.7166450668113243e+39,2.972987867853933e+39,56856659071743.25,52405805604137.04,61549519496485.766
60984.22023149999,5658.374778063506,5571.832891543118,5747.244418725072,2.955998593882134e+39,2.823632558936903e+39,3.0930088052033224e+39,63629088789322.69,60600596170928.44,66755745975786.16
60984.23875000002,5645.708850546973,5560.978653337719,5727.386125406785,3.0594591165554155e+39,2.94116641656319e+39,3.180819887642779e+39,65000807257498.92,62258657921482.38,68004748634137.3
60984.77532406989,5646.982783345525,5555.219559646701,5739.437907679042,2.8350707782994307e+39,2.6661601550836384e+39,3.005360100378812e+39,62581889418232.84,59048316579828.61,66030654011768.086
60985.12098379992,5583.462028185113,5504.027308855169,5660.482334736047,3.167338704521764e+39,3.067568206265935e+39,3.268524638629973e+39,67649589819676.08,64933092178179.61,70461016184038.0
60985.27043979988,5584.447425266837,5500.456991814857,5668.867502035401,3.051822115294808e+39,2.9219209218897533e+39,3.187217746375806e+39,66370060732694.414,63308308993811.77,69551639692656.445
60985.2709144,5585.82316818188,5504.247336583096,5666.841500456516,3.075569227731033e+39,2.95647419158051e+39,3.2009139341511325e+39,66597895642515.93,63709686601088.48,69724294632908.62
60986.19612269988,5503.767232755182,5426.502983936839,5585.31701288085,3.134810125917144e+39,2.995497183889472e+39,3.275560740109334e+39,69252829554125.3,66039366410913.04,72444370416811.17
60986.53487267997,5504.341292166502,5416.742086285295,5595.5992626594,2.8908414622176984e+39,2.7150651115854534e+39,3.068526571793786e+39,66482274113051.53,62759514953613.4,70215689882557.52
60987.53894675989,5404.294444180288,5322.152522729117,5486.5487168139125,2.97799870620091e+39,2.8061554801654186e+39,3.145618037488221e+39,70018845212373.16,66296327393207.3,73717058369002.47
60988.1822106,5305.948645726105,5238.333995412421,5374.368409167213,3.378295540210235e+39,3.2553639009794945e+39,3.507520203617075e+39,77339186825497.28,74225000747744.83,80600849731668.92
60988.33076390019,5298.5580176761105,5226.764129988332,5368.532412442764,3.319212867211792e+39,3.192257255267891e+39,3.4519093901783775e+39,76867176859479.9,73765096680928.6,80301169186579.94
60988.33123840019,5294.48696325953,5226.878318072033,5364.272097148019,3.3402802238191235e+39,3.22268640927357e+39,3.464365909227209e+39,77218231700130.25,74173669581979.39,80416824374021.98
60988.53774305992,5298.406840608112,5221.892181119294,5372.206352307943,3.1065782595399906e+39,2.949087036089127e+39,3.272879559878279e+39,74384077589512.22,70851615462464.81,78073738471053.23
60989.30296299979,5207.487339171992,5139.819980183641,5276.843616109053,3.338532434944511e+39,3.2115761032615197e+39,3.472988984156009e+39,79802843712266.75,76463965678829.78,83286879408141.61
60989.3034374998,5203.210014920181,5137.89019657566,5269.84544932307,3.37739780775478e+39,3.253481455404632e+39,3.5007787333621457e+39,80413697210824.53,77206032629639.31,83662684663733.95
60989.69490741007,5198.63556059789,5123.046463555345,5274.537337719926,3.064216737586319e+39,2.888024382621766e+39,3.249137173390317e+39,76714441041059.12,72794968782880.03,80899257297269.75
60990.20150459977,5128.721247026883,5062.76025801971,5194.398370675812,3.339125260622672e+39,3.1940367752765133e+39,3.48398251467761e+39,82311961357273.42,78765488709458.53,85880110300252.7
60992.229131899774,4994.122899743761,4922.193460321586,5063.322100259239,3.1355792581312235e+39,2.955829168649593e+39,3.3170930804059026e+39,84125699561061.9,79889310408381.12,88592181704430.53
60992.55052082986,4908.723069837642,4841.4173704563145,4974.822589957124,3.292111735329688e+39,3.1118234639521405e+39,3.4742147015899735e+39,89187478421062.11,84871369650085.9,93607926855232.78
60993.548171299975,4861.989135650508,4791.3689416972975,4932.79416771582,3.139220171995562e+39,2.947188934803432e+39,3.331125259397346e+39,88762009030872.81,84146281728618.4,93599352681245.53
60994.550914349966,5016.437737559252,4891.000166358144,5149.421481918556,3.2990829860942235e+39,3.114803543379878e+39,3.488581290550963e+39,85560584985558.9,79445770201729.8,91905577128626.72
60996.60439815,4837.24854322493,4715.389264084913,4966.297129225303,3.296259213614801e+39,3.10516016164226e+39,3.494962981602636e+39,91909103656389.44,85131000993176.95,99034911247945.5
60998.584282409865,4747.076424824333,4635.891470436249,4868.864820246039,3.441174580272681e+39,3.2421261082010147e+39,3.651602532409593e+39,97548835787266.9,90398190201304.64,104842835894466.48
60999.53288193978,4663.643488087942,4551.571743851608,4784.497615931899,3.4066035310453807e+39,3.193266961214799e+39,3.618528362390581e+39,100491179905610.23,93066737711784.62,108114289367489.72
61000.580219910014,4545.381812312184,4427.92323501944,4673.06114733237,3.332469353065228e+39,3.109118635773156e+39,3.5632454699107716e+39,104617328590471.8,96579172390215.61,112945192264757.05
61001.760462960236,4528.227256679896,4418.735517691287,4641.936266710908,3.434072651875283e+39,3.214780553127743e+39,3.664428413919499e+39,107098578797604.8,99291324143854.97,115116830590655.2
61003.733159719966,4414.409058265838,4306.223215583206,4527.246565192146,3.468989382751651e+39,3.227734366098288e+39,3.715453699155344e+39,113207048169861.64,104772172965332.31,122112018313151.36
61004.1804630002,4480.30500092994,4387.754470767868,4575.636858747072,3.6867381217884883e+39,3.472541095950061e+39,3.9029280829123516e+39,113329261478911.34,105826963212026.23,121107410624575.52
61006.26225689985,4422.960499771703,4336.845529696558,4508.905560516369,3.866062441362646e+39,3.653887153399348e+39,4.091913015115817e+39,119143131653473.64,111747208028820.8,127120391145699.56
61008.199178200215,4295.754849099265,4207.970384027227,4386.442129190906,3.783641427170402e+39,3.547261664239261e+39,4.032292116337555e+39,124910705221944.84,116461205154573.95,133636859118946.69
61008.652534720015,4284.2290339634765,4201.295661085956,4374.720990288277,3.8276102135402e+39,3.584177519368377e+39,4.0654062542391163e+39,126239605999175.19,117573009904711.88,134821200178631.72
61010.20862270007,4246.987984983212,4164.466549595266,4332.582176645811,3.922856929441542e+39,3.678888382838888e+39,4.1686715980344354e+39,130114300300287.36,121503678571726.2,138948626275418.27
61010.79118055989,4232.6751125330575,4154.35053332688,4317.06289003522,3.9629913227104495e+39,3.721982482266326e+39,4.208406563931858e+39,131595642638451.52,123145348317016.69,140213090565702.08
