MJD,mag,magunc,filter
56226.3167,20.5289,0.1023,PS1-r
56226.3277,20.6569,0.1213,PS1-r
56247.8544,20.5901,0.0262,PTF-r
56269.7599,20.5206,0.0070,PTF-r
56297.3029,20.5773,0.0168,PTF-r
56323.8191,20.6634,0.0186,PTF-r
56461.4950,20.7775,0.0668,PTF-r
56477.5980,18.8574,0.0223,PS1-z
56484.5847,18.8320,0.0381,PS1-z
56486.6246,18.5621,0.0332,PS1-y
56526.5286,18.5263,0.0506,PS1-y
56538.1677,20.3425,0.0646,PTF-r
56576.3717,20.4350,0.0879,PTF-r
56581.4334,20.4723,0.1430,PS1-r
56589.4502,19.4412,0.0240,PS1-i
56589.4623,19.4624,0.0242,PS1-i
56599.2246,20.7191,0.1090,PS1-r
56600.3316,20.7661,0.1052,PTF-r
56623.3474,19.0569,0.0202,PS1-z
56625.8581,20.6909,0.0834,PTF-r
56643.1940,18.4857,0.0536,PS1-y
56665.3323,20.6529,0.0495,PTF-r
56672.5740,17.8871,0.0363,NEOWISE-W1
56672.6237,18.2528,0.0981,NEOWISE-W2
56822.4422,20.6773,0.0907,PTF-r
56861.5766,17.9404,0.0370,NEOWISE-W1
56861.7041,18.1585,0.0892,NEOWISE-W2
56867.6334,18.5626,0.0581,PS1-y
56907.4350,19.5051,0.0439,PS1-i
56907.4463,19.4017,0.0364,PS1-i
56907.4577,19.4889,0.0388,PS1-i
56907.4691,19.4473,0.0369,PS1-i
56976.6936,20.7438,0.0679,PTF-r
57035.6769,18.0555,0.1177,NEOWISE-W2
57035.7916,17.7762,0.0408,NEOWISE-W1
57040.8373,20.5281,0.1306,PTF-r
57223.4057,17.8445,0.0327,NEOWISE-W1
57223.4816,18.1419,0.0980,NEOWISE-W2
57396.0628,18.2638,0.1000,NEOWISE-W2
57396.0923,17.7732,0.0331,NEOWISE-W1
57587.9035,17.7364,0.0335,NEOWISE-W1
57588.3188,18.1834,0.1056,NEOWISE-W2
57755.5112,18.1266,0.0983,NEOWISE-W2
57755.6161,17.7699,0.0351,NEOWISE-W1
57954.6790,17.7487,0.0299,NEOWISE-W1
57954.7723,18.0413,0.0876,NEOWISE-W2
58118.6189,17.7265,0.0337,NEOWISE-W1
58118.6209,17.9591,0.1166,NEOWISE-W2
58271.4422,20.0621,0.1706,ZTF-r
58277.4255,20.0936,0.1744,ZTF-r
58280.4726,20.1709,0.1838,ZTF-r
58283.4670,20.0204,0.1658,ZTF-r
58286.4687,20.2022,0.1876,ZTF-r
58289.4693,20.0418,0.1682,ZTF-r
58291.4671,20.0318,0.1671,ZTF-r
58292.4741,20.0264,0.1665,ZTF-r
58293.4697,20.0781,0.1725,ZTF-r
58297.4251,20.1020,0.1754,ZTF-r
58299.4107,20.2179,0.1087,ZTF-r
58302.4106,19.7403,0.1353,ZTF-r
58303.4745,20.0422,0.1190,ZTF-r
58305.4301,20.0720,0.1718,ZTF-r
58307.4316,19.2276,0.1475,ZTF-i
58311.3595,21.6463,0.2968,ZTF-g
58312.4142,20.1615,0.1054,ZTF-r
58312.4735,21.3376,0.2662,ZTF-g
58316.3491,20.2426,0.1927,ZTF-r
58316.4114,21.5381,0.2861,ZTF-g
58318.3605,20.0791,0.1727,ZTF-r
58318.4195,21.8595,0.2248,ZTF-g
58318.6816,17.6461,0.0299,NEOWISE-W1
58318.7081,18.0774,0.1141,NEOWISE-W2
58319.3524,20.1831,0.1853,ZTF-r
58319.4230,21.8412,0.3161,ZTF-g
58320.3800,20.1383,0.1269,ZTF-r
58321.4367,21.4295,0.2753,ZTF-g
58321.4539,21.9002,0.3219,ZTF-g
58322.3785,20.0892,0.1739,ZTF-r
58323.4174,21.5212,0.2844,ZTF-g
58325.2839,19.8606,0.1479,ZTF-r
58325.3877,19.1258,0.1412,ZTF-i
58325.4832,20.2171,0.1335,ZTF-r
58327.4203,20.1415,0.1100,ZTF-r
58328.4166,19.9759,0.1135,ZTF-r
