MJD,mag,magunc,filter
59394.4054,18.1413,0.0825,ZTF-i
59399.4186,20.9414,0.2270,ZTF-g
59401.4412,19.3154,0.0980,ZTF-r
59402.4329,19.2109,0.0904,ZTF-r
59404.9466,19.2292,0.0649,ZTF-r
59405.4600,20.9033,0.2232,ZTF-g
59409.4334,21.0154,0.2343,ZTF-g
59409.9441,19.2448,0.0656,ZTF-r
59411.0018,20.8859,0.1563,ZTF-g
59411.9545,19.2156,0.0642,ZTF-r
59412.4439,21.2779,0.2603,ZTF-g
59414.2921,17.0178,0.0190,NEOWISE-W1
59414.2931,17.5411,0.0640,NEOWISE-W2
59414.4149,21.2927,0.2618,ZTF-g
59415.4649,20.9004,0.2229,ZTF-g
59416.4156,19.2302,0.0918,ZTF-r
59417.4079,18.3319,0.0922,ZTF-i
59418.4096,19.1868,0.0888,ZTF-r
59422.4320,19.1990,0.0896,ZTF-r
59424.3907,19.1562,0.0867,ZTF-r
59427.4562,19.1430,0.0858,ZTF-r
59427.4717,21.0564,0.2384,ZTF-g
59429.4247,21.0286,0.2356,ZTF-g
59434.4343,21.1770,0.2503,ZTF-g
59436.4190,18.1972,0.0420,ZTF-i
59436.4300,20.9774,0.2306,ZTF-g
59439.4141,18.2751,0.0446,ZTF-i
59439.4279,21.3172,0.2642,ZTF-g
59442.4324,19.1458,0.0860,ZTF-r
59446.3965,19.2699,0.0946,ZTF-r
59449.3731,18.8656,0.0693,ZTF-r
59454.3466,19.2301,0.0918,ZTF-r
59454.3933,20.8103,0.2140,ZTF-g
59454.4782,18.1116,0.0393,ZTF-i
59458.3688,19.1331,0.0852,ZTF-r
59460.3428,19.2836,0.0957,ZTF-r
59460.3841,21.1159,0.2443,ZTF-g
59462.3494,21.2008,0.2527,ZTF-g
59464.4413,20.9870,0.2315,ZTF-g
59468.4398,20.9585,0.2287,ZTF-g
59470.3779,21.2682,0.2594,ZTF-g
59472.3944,19.2343,0.0921,ZTF-r
59472.4104,20.9705,0.2299,ZTF-g
59474.2922,19.2121,0.0905,ZTF-r
59474.4185,21.0776,0.2405,ZTF-g
59476.3984,18.2903,0.0451,ZTF-i
59477.2413,19.3691,0.1022,ZTF-r
59478.3901,18.2992,0.0454,ZTF-i
59479.2957,18.1924,0.0418,ZTF-i
59479.3635,19.0479,0.0797,ZTF-r
59480.3916,18.2444,0.0435,ZTF-i
59488.2878,21.1200,0.2447,ZTF-g
59491.2464,19.2050,0.0900,ZTF-r
59498.3544,21.2796,0.2605,ZTF-g
59502.3690,19.2595,0.0939,ZTF-r
59503.2651,18.1971,0.0420,ZTF-i
59505.3253,18.3339,0.0923,ZTF-i
59509.3326,18.2408,0.0434,ZTF-i
59517.2315,20.9396,0.2268,ZTF-g
59521.2552,18.2490,0.0437,ZTF-i
59522.2594,21.0253,0.2353,ZTF-g
59524.2932,18.2528,0.0438,ZTF-i
59529.2098,19.2798,0.0954,ZTF-r
59529.2578,20.9392,0.2268,ZTF-g
59531.2303,18.2204,0.0427,ZTF-i
59531.2422,19.2991,0.0968,ZTF-r
59531.3467,21.1619,0.2488,ZTF-g
59532.2329,18.2694,0.0444,ZTF-i
59537.3339,19.3053,0.0973,ZTF-r
59542.2317,18.2671,0.0443,ZTF-i
59550.1557,19.2202,0.0911,ZTF-r
59550.2066,18.3530,0.0933,ZTF-i
59550.2233,21.1546,0.2481,ZTF-g
59574.8430,17.4064,0.0470,NEOWISE-W2
59574.8644,16.8586,0.0168,NEOWISE-W1
59622.1780,19.2480,0.0931,ZTF-r
59624.1551,19.1093,0.0836,ZTF-r
59707.4816,19.0122,0.0776,ZTF-r
59708.4816,19.2088,0.0638,ZTF-r
59710.4816,19.3185,0.0695,ZTF-r
59712.4812,19.2965,0.0483,ZTF-r
59713.4839,19.3529,0.0582,ZTF-r
59714.4822,19.2835,0.0478,ZTF-r
59718.4768,19.3380,0.0446,ZTF-r
59719.4774,19.2145,0.0453,ZTF-r
59720.4750,19.3192,0.0568,ZTF-r
59721.4747,19.2855,0.0428,ZTF-r
59722.4734,20.6574,0.1989,ZTF-g
59723.4745,19.3212,0.0440,ZTF-r
59724.4751,19.2262,0.0457,ZTF-r
59729.4621,19.3742,0.0459,ZTF-r
59730.4629,19.2892,0.0679,ZTF-r
59731.4627,19.3170,0.0439,ZTF-r
59732.4620,19.3080,0.0436,ZTF-r
59757.4424,21.2895,0.2615,ZTF-g
59764.3861,19.5578,0.1180,ZTF-r
59764.4266,21.3384,0.2663,ZTF-g
59766.3906,19.4049,0.1050,ZTF-r
59766.4273,21.1898,0.2516,ZTF-g
59769.4617,21.2290,0.2555,ZTF-g
59772.3660,19.6212,0.1238,ZTF-r
59774.3672,19.4196,0.1062,ZTF-r
59775.4144,19.3420,0.1001,ZTF-r
59775.4613,19.6191,0.1236,ZTF-r
59778.4454,19.5059,0.1134,ZTF-r
59779.6980,16.9450,0.0135,NEOWISE-W1
59779.6998,17.3852,0.0401,NEOWISE-W2
59782.4114,19.3938,0.1041,ZTF-r
59782.4487,20.7061,0.2037,ZTF-g
59788.4540,21.1769,0.2503,ZTF-g
59798.4126,21.3641,0.2688,ZTF-g
59798.4537,19.4289,0.1070,ZTF-r
59801.4312,20.7635,0.2094,ZTF-g
59804.4296,18.4501,0.0987,ZTF-i
59806.4123,19.5265,0.1152,ZTF-r
59807.4588,18.3392,0.0469,ZTF-i
59808.4260,19.3902,0.1038,ZTF-r
59811.4460,18.3822,0.0485,ZTF-i
59812.4700,18.3804,0.0484,ZTF-i
59813.3839,19.4625,0.1098,ZTF-r
59814.3695,18.3807,0.0484,ZTF-i
59815.3698,18.4339,0.0505,ZTF-i
59816.4192,18.4993,0.0532,ZTF-i
59817.4283,21.2382,0.2564,ZTF-g
59819.4260,21.2469,0.2572,ZTF-g
59822.4244,21.0043,0.2332,ZTF-g
59839.3675,21.1931,0.2519,ZTF-g
59841.2856,21.3886,0.2713,ZTF-g
59843.3106,19.4598,0.1095,ZTF-r
59843.3473,21.2142,0.2540,ZTF-g
59846.3703,21.1844,0.2511,ZTF-g
59848.3724,21.3560,0.2680,ZTF-g
59849.3860,18.6187,0.1086,ZTF-i
59850.2809,19.5000,0.1129,ZTF-r
59850.3915,21.5157,0.2839,ZTF-g
59852.3447,21.3206,0.2645,ZTF-g
59856.3014,19.4209,0.1063,ZTF-r
59858.3005,19.4801,0.1112,ZTF-r
59860.2279,19.5194,0.1146,ZTF-r
59860.3638,18.4050,0.0494,ZTF-i
59861.3133,19.4458,0.0825,ZTF-r
59862.3152,19.4992,0.1129,ZTF-r
59862.3547,18.4952,0.1012,ZTF-i
59864.2822,19.4141,0.1058,ZTF-r
59865.3752,19.4793,0.0847,ZTF-r
59866.3153,20.8175,0.1667,ZTF-g
59866.3537,19.4231,0.1065,ZTF-r
59871.2015,19.5186,0.1146,ZTF-r
59872.3322,20.8461,0.1687,ZTF-g
59873.1857,19.4221,0.1064,ZTF-r
59873.2232,21.1264,0.2453,ZTF-g
59874.2913,19.4872,0.0852,ZTF-r
59877.2882,21.1939,0.2520,ZTF-g
59879.2303,18.3524,0.0474,ZTF-i
59879.2910,19.4946,0.1125,ZTF-r
59880.3162,18.4493,0.0511,ZTF-i
59882.3087,19.6065,0.0934,ZTF-r
59883.3602,19.4943,0.0857,ZTF-r
59887.2551,18.3840,0.0486,ZTF-i
59894.2890,19.5404,0.1165,ZTF-r
59896.2274,20.7365,0.2067,ZTF-g
59896.3065,19.6151,0.1232,ZTF-r
59901.2493,19.5114,0.0868,ZTF-r
59902.1685,19.4686,0.1103,ZTF-r
59904.1850,20.9874,0.2316,ZTF-g
59904.2276,19.5174,0.0694,ZTF-r
59906.2046,21.1484,0.2475,ZTF-g
59907.2326,18.3758,0.0483,ZTF-i
59910.1848,19.4973,0.1127,ZTF-r
59910.2195,21.3915,0.2716,ZTF-g
59913.1868,19.4488,0.0827,ZTF-r
59932.1332,20.8989,0.2228,ZTF-g
59934.2030,20.9530,0.2282,ZTF-g
59934.2463,19.5826,0.1203,ZTF-r
59936.1991,19.6450,0.1261,ZTF-r
59939.8386,16.8145,0.0236,NEOWISE-W1
59940.0212,17.2191,0.0597,NEOWISE-W2
59956.1398,19.5693,0.1191,ZTF-r
59958.1424,19.6292,0.1246,ZTF-r
59969.1437,19.6072,0.1225,ZTF-r
59980.1201,19.6412,0.1257,ZTF-r
59984.1098,19.3770,0.1028,ZTF-r
59994.1720,19.5207,0.1147,ZTF-r
60072.4852,19.6507,0.0731,ZTF-r
60073.4843,19.1832,0.0885,ZTF-r
60075.4804,19.5991,0.0703,ZTF-r
60076.4808,19.7948,0.0704,ZTF-r
60077.4810,19.6317,0.0623,ZTF-r
60078.4801,19.6738,0.0644,ZTF-r
60079.4811,19.8000,0.0631,ZTF-r
60081.4794,19.8239,0.0642,ZTF-r
60082.4799,19.7959,0.0628,ZTF-r
60083.4773,19.7626,0.0614,ZTF-r
60085.4784,19.7229,0.0771,ZTF-r
60087.4760,19.7078,0.0590,ZTF-r
60088.4766,19.8006,0.0631,ZTF-r
60089.4754,19.6889,0.0582,ZTF-r
60090.4750,19.7572,0.0684,ZTF-r
60093.4642,19.7305,0.0672,ZTF-r
60094.4603,19.6886,0.1302,ZTF-r
60097.4621,19.7315,0.0776,ZTF-r
60124.4103,20.8360,0.2166,ZTF-g
60124.4476,19.4901,0.1121,ZTF-r
60133.4075,19.3772,0.1028,ZTF-r
60135.4047,20.5337,0.1867,ZTF-g
60135.4619,19.2805,0.0954,ZTF-r
60138.4247,20.6545,0.1986,ZTF-g
60141.3406,20.7623,0.2093,ZTF-g
60144.3876,19.2789,0.0953,ZTF-r
60144.4448,20.8833,0.2213,ZTF-g
60145.5396,16.9732,0.0196,NEOWISE-W1
60145.5879,17.2237,0.0497,NEOWISE-W2
60148.4528,20.8716,0.2201,ZTF-g
60150.4264,21.0616,0.2389,ZTF-g
60150.4521,19.2896,0.0961,ZTF-r
60153.4583,19.2523,0.0934,ZTF-r
60156.3805,19.2997,0.0969,ZTF-r
60160.4372,19.3403,0.0999,ZTF-r
60163.4060,19.3973,0.1044,ZTF-r
60163.4693,20.7884,0.2119,ZTF-g
60168.4083,21.3300,0.2655,ZTF-g
60173.4560,19.3739,0.1025,ZTF-r
60173.4740,21.3433,0.2668,ZTF-g
60178.4287,20.9697,0.2298,ZTF-g
60181.4389,18.4436,0.0509,ZTF-i
60182.4557,19.3221,0.0985,ZTF-r
60184.4747,19.4859,0.1117,ZTF-r
60186.4158,19.5658,0.1187,ZTF-r
60194.4235,21.1754,0.2502,ZTF-g
60196.3316,21.1354,0.2462,ZTF-g
60198.3303,18.7357,0.1159,ZTF-i
60200.3738,21.1786,0.2505,ZTF-g
60200.4566,19.5534,0.1176,ZTF-r
60202.3252,19.4019,0.1048,ZTF-r
60202.4414,21.2068,0.2533,ZTF-g
60204.4467,20.8544,0.2184,ZTF-g
60206.4067,21.2783,0.2603,ZTF-g
60207.2855,18.5925,0.1070,ZTF-i
60209.3106,19.4753,0.1108,ZTF-r
60212.4151,20.9032,0.2232,ZTF-g
60214.3129,19.3063,0.0973,ZTF-r
60214.4108,18.3867,0.0487,ZTF-i
60216.4908,19.3045,0.0972,ZTF-r
60221.3233,19.1930,0.0892,ZTF-r
60221.3690,20.9668,0.2295,ZTF-g
60223.2270,19.1560,0.0867,ZTF-r
60226.3269,18.5705,0.1057,ZTF-i
60228.2493,20.8869,0.2216,ZTF-g
60228.3005,19.2437,0.0928,ZTF-r
60231.3113,20.9841,0.2312,ZTF-g
60231.3363,19.1873,0.0888,ZTF-r
60233.1849,19.2407,0.0925,ZTF-r
60235.2048,20.7371,0.2068,ZTF-g
60237.2079,19.3101,0.0976,ZTF-r
60237.2422,20.7731,0.2103,ZTF-g
60239.2680,20.9467,0.2275,ZTF-g
60242.3831,19.2491,0.0931,ZTF-r
60242.4723,20.9289,0.2258,ZTF-g
60245.2312,19.3257,0.0988,ZTF-r
60245.2653,18.5067,0.1019,ZTF-i
60248.2708,18.5186,0.0540,ZTF-i
60250.3093,19.2046,0.0900,ZTF-r
60252.3031,19.2537,0.0935,ZTF-r
60254.2225,20.9690,0.2297,ZTF-g
60254.2410,19.3390,0.0998,ZTF-r
60258.2649,18.4047,0.0961,ZTF-i
60259.2228,20.9284,0.2257,ZTF-g
60259.2984,19.3452,0.1003,ZTF-r
60261.2486,19.3488,0.1006,ZTF-r
60261.3097,21.0024,0.2330,ZTF-g
60268.1786,19.4740,0.1107,ZTF-r
60287.1228,19.6480,0.1263,ZTF-r
60287.1349,20.9539,0.2282,ZTF-g
60288.1833,19.5675,0.1189,ZTF-r
60289.1242,19.3981,0.1045,ZTF-r
60291.1749,20.8207,0.2151,ZTF-g
60295.1664,18.5164,0.0539,ZTF-i
60306.0371,17.3591,0.0551,NEOWISE-W2
60306.0388,17.0379,0.0215,NEOWISE-W1
60315.2171,19.5118,0.0805,ZTF-r
60322.2146,18.4197,0.0970,ZTF-i
60340.1230,20.9246,0.2253,ZTF-g
60355.1545,20.5208,0.1854,ZTF-g
60358.1333,19.3237,0.0987,ZTF-r
60430.4882,19.0244,0.0596,ZTF-r
60432.4847,19.1198,0.0641,ZTF-r
60433.4837,19.1502,0.0464,ZTF-r
60437.4846,19.0146,0.0449,ZTF-r
60438.4868,19.2290,0.0529,ZTF-r
60439.4830,19.0924,0.0583,ZTF-r
60440.4832,19.1540,0.0499,ZTF-r
60441.4769,18.9621,0.0328,ZTF-r
60442.4751,18.9626,0.0328,ZTF-r
60443.4775,19.0741,0.0357,ZTF-r
60444.4740,18.9767,0.0331,ZTF-r
60445.4828,19.0250,0.0421,ZTF-r
60446.4739,19.0743,0.0357,ZTF-r
60447.4721,19.1428,0.0495,ZTF-r
60449.4715,19.0188,0.0450,ZTF-r
60450.4696,18.9654,0.0529,ZTF-r
60451.4709,19.1087,0.0482,ZTF-r
60452.4679,19.1309,0.0601,ZTF-r
60464.4554,16.8454,0.1216,WINTER-J
60464.4679,16.6628,0.1660,WINTER-Hs
60471.4083,16.7061,0.2403,WINTER-J
60471.4499,18.2874,0.0898,ZTF-i
60474.3976,16.6694,0.1817,WINTER-J
60477.3890,16.7698,0.1528,WINTER-J
60477.4460,18.1971,0.0853,ZTF-i
60480.4760,16.7914,0.1029,WINTER-J
60483.3696,16.9243,0.1216,WINTER-J
60484.4530,18.1776,0.0843,ZTF-i
60486.4774,17.0231,0.1967,WINTER-J
60487.3862,18.0477,0.0782,ZTF-i
60488.3597,19.0174,0.0463,ZTF-r
60488.4540,20.4270,0.1180,ZTF-g
60489.4698,16.9336,0.1229,WINTER-J
60490.4264,18.0898,0.0801,ZTF-i
60494.4484,20.5932,0.1323,ZTF-g
60495.3784,16.7348,0.2224,WINTER-J
60498.3339,16.6671,0.1259,WINTER-J
60501.3368,17.0241,0.2855,WINTER-J
60505.4484,20.5779,0.1649,ZTF-g
60511.3633,19.0243,0.0743,ZTF-r
60514.3736,18.8635,0.0585,ZTF-r
60516.4093,18.9834,0.0630,ZTF-r
60516.4559,20.3317,0.2625,ZTF-g
60525.3715,20.8553,0.1411,ZTF-g
60527.3476,20.7980,0.1390,ZTF-g
60529.4293,20.7313,0.1825,ZTF-g
60539.4293,20.4332,0.1593,ZTF-g
60543.3718,20.3956,0.2418,ZTF-g
60544.3180,18.9703,0.0658,ZTF-r
60545.4605,20.3921,0.2438,ZTF-g
60549.4531,20.4856,0.1056,ZTF-g
60552.3354,16.5627,0.0578,WINTER-J
60553.3216,16.6229,0.0692,WINTER-J
60554.3367,20.5221,0.0953,ZTF-g
60554.3372,16.6329,0.1262,WINTER-J
60555.3319,16.6599,0.0819,WINTER-J
60556.3265,16.5551,0.0755,WINTER-J
60557.3241,16.7999,0.0739,WINTER-J
60558.3268,16.6172,0.1744,WINTER-J
60559.3206,16.7246,0.1116,WINTER-J
60560.3835,20.5221,0.1174,ZTF-g
60561.3121,16.4831,0.1967,WINTER-J
60562.3136,16.7031,0.2516,WINTER-J
60562.3226,20.5486,0.1333,ZTF-g
60564.1851,20.4074,0.1076,ZTF-g
60564.1891,19.0334,0.0301,ZTF-r
60566.3081,16.6015,0.1199,WINTER-J
60569.2917,16.8221,0.1273,WINTER-J
60569.3034,20.1795,0.2831,ZTF-g
60571.2902,16.5906,0.1247,WINTER-J
60572.1576,16.4359,0.1514,WINTER-Hs
60572.1700,16.6735,0.1183,WINTER-J
60572.3043,18.8353,0.0472,ZTF-r
60572.3926,20.0234,0.2027,ZTF-g
60575.4033,20.5770,0.2040,ZTF-g
60576.2469,16.7434,0.1243,WINTER-J
60577.3514,20.1842,0.1334,ZTF-g
60579.2576,16.9124,0.1120,WINTER-J
60581.2552,16.7320,0.0869,WINTER-J
60582.2347,16.7897,0.1336,WINTER-J
60583.2391,16.7698,0.1010,WINTER-J
60586.2438,16.7804,0.1230,WINTER-J
60587.2324,16.7115,0.1136,WINTER-J
60588.2486,16.6912,0.1247,WINTER-J
60590.2354,16.9140,0.1240,WINTER-J
60591.1978,16.8133,0.1889,WINTER-J
60592.2149,16.6859,0.1775,WINTER-J
60592.3688,20.4074,0.1302,ZTF-g
60593.2113,16.5971,0.1338,WINTER-J
60594.2087,16.8032,0.1365,WINTER-J
60594.4334,20.4579,0.1632,ZTF-g
60595.2163,16.8364,0.1401,WINTER-J
60596.2184,16.6346,0.1525,WINTER-J
60597.2129,16.9726,0.1339,WINTER-J
60598.1984,16.7509,0.1278,WINTER-J
60598.2424,20.5527,0.2062,ZTF-g
60598.3263,18.8031,0.0369,ZTF-r
60599.0778,16.5372,0.1989,WINTER-J
60599.0902,16.2368,0.1053,WINTER-Hs
60599.1958,16.7522,0.1279,WINTER-J
60600.2050,17.0076,0.1280,WINTER-J
60600.2467,18.7781,0.0938,ZTF-r
60602.2005,17.0678,0.1997,WINTER-J
60603.1629,16.7049,0.1156,WINTER-J
60604.1617,16.8050,0.1649,WINTER-J
60605.1609,16.7670,0.0990,WINTER-J
60609.1044,16.5726,0.2462,WINTER-J
60609.1170,16.3193,0.1236,WINTER-Hs
60619.1026,16.3686,0.1261,WINTER-Hs
60624.1397,17.8686,0.0317,ZTF-i
60626.1347,16.6332,0.2181,WINTER-J
60631.1179,16.4454,0.1663,WINTER-J
60632.3057,20.1137,0.1359,ZTF-g
60636.2693,20.3742,0.1419,ZTF-g
60653.1133,18.6857,0.0434,ZTF-r
60655.2812,18.6225,0.0645,ZTF-r
60660.2048,20.0704,0.2975,ZTF-g
60664.2453,16.4644,0.1058,WINTER-J
60684.1455,17.9264,0.0799,ZTF-i
60689.1685,16.5011,0.1310,WINTER-J
60690.0718,16.6270,0.2591,WINTER-J
60690.0835,16.3733,0.1396,WINTER-J
60693.2406,18.7858,0.0708,ZTF-r
60694.1240,16.2636,0.0811,WINTER-J
60700.1026,16.2947,0.0680,WINTER-J
60700.1145,16.2055,0.0729,WINTER-J
60708.1320,16.1958,0.0962,WINTER-J
60728.1425,16.1948,0.1082,WINTER-J
60731.1120,16.4520,0.2105,WINTER-J
60797.4905,19.1231,0.1384,ZTF-r
60798.4882,19.0705,0.0775,ZTF-r
60803.4878,19.1266,0.0980,ZTF-r
60804.4993,16.2214,0.1735,WINTER-J
60805.4876,19.2168,0.0786,ZTF-r
60806.4911,19.1653,0.0761,ZTF-r
60810.4879,19.1951,0.1594,ZTF-r
60811.4869,19.2428,0.1566,ZTF-r
60815.4873,19.3229,0.1501,ZTF-r
60816.4861,19.1299,0.0901,ZTF-r
60817.4852,19.2069,0.0755,ZTF-r
60818.4849,19.2063,0.0680,ZTF-r
60822.4721,16.1693,0.1178,WINTER-J
60822.4841,16.0439,0.0761,WINTER-J
60829.4935,16.0326,0.2277,WINTER-J
60834.4449,16.0994,0.1351,WINTER-J
60843.4902,15.6690,0.0991,WINTER-J
60846.4882,15.9269,0.0938,WINTER-J
60849.4820,15.8856,0.0980,WINTER-J
60852.4843,15.7684,0.0848,WINTER-J
60853.3949,19.4430,0.0578,ZTF-r
60863.4889,15.8580,0.0798,WINTER-J
60866.4814,15.8777,0.0971,WINTER-J
60867.0000,15.9770,0.0359,SPHEREx-W1
60869.4782,15.8046,0.2051,WINTER-J
60870.3863,17.9342,0.0688,ZTF-i
60873.0000,16.3202,0.1237,SPHEREx-W2
60876.4678,16.0827,0.1160,WINTER-J
60881.3464,18.0556,0.0355,ZTF-i
60882.4327,19.5265,0.0748,ZTF-r
60886.3424,20.8785,0.1938,ZTF-g
60886.4484,15.9979,0.1185,WINTER-J
60887.3381,16.0179,0.1090,WINTER-J
60892.3517,18.0635,0.0401,ZTF-i
60894.3480,19.6882,0.0899,ZTF-r
60895.3129,17.9998,0.0579,ZTF-i
60896.3480,18.0413,0.0474,ZTF-i
60897.2917,17.9393,0.0619,ZTF-i
60898.2878,18.0490,0.0595,ZTF-i
60898.4115,19.3752,0.0840,ZTF-r
60899.3323,17.9540,0.0569,ZTF-i
60901.3528,17.9887,0.0396,ZTF-i
60902.3529,17.9989,0.0390,ZTF-i
60908.3926,17.9622,0.0332,ZTF-i
60911.2480,18.0008,0.0358,ZTF-i
60918.3663,16.0052,0.0957,WINTER-J
60924.4029,19.5543,0.0651,ZTF-r
60925.3862,19.6095,0.1064,ZTF-r
60926.4682,19.5397,0.0816,ZTF-r
60928.4938,19.6197,0.1292,ZTF-r
60934.4133,19.4088,0.0682,ZTF-r
60935.3446,21.3053,0.1917,ZTF-g
60938.3938,19.5067,0.0361,ZTF-r
60939.2604,19.4866,0.0451,ZTF-r
60942.4041,21.1233,0.1213,ZTF-g
60944.3655,19.4678,0.0414,ZTF-r
60948.3915,19.4979,0.0407,ZTF-r
60949.2616,19.5148,0.0474,ZTF-r
60950.2830,19.3617,0.0537,ZTF-r
60950.2832,19.4288,0.0393,ZTF-r
60950.2835,19.4930,0.0575,ZTF-r
60951.2707,19.5718,0.0809,ZTF-r
60951.2710,19.5426,0.0542,ZTF-r
60951.2712,19.5169,0.0729,ZTF-r
60953.2175,19.2802,0.0717,ZTF-r
60953.2180,19.3825,0.0536,ZTF-r
60953.2184,19.4793,0.0800,ZTF-r
60953.3856,20.6523,0.2289,ZTF-g
60953.3856,20.6523,0.2289,ZTF-g
60954.2785,20.6624,0.2585,ZTF-g
60954.2785,20.6624,0.2585,ZTF-g
60955.2939,19.3113,0.0829,ZTF-r
60955.2939,19.3113,0.0829,ZTF-r
60957.1857,19.0379,0.0732,ZTF-r
60957.1857,19.0379,0.0732,ZTF-r
60957.3846,20.2176,0.2599,ZTF-g
60957.3846,20.2176,0.2599,ZTF-g
60958.4803,18.7960,0.0617,ZTF-r
60958.4803,18.7960,0.0617,ZTF-r
60960.3623,18.3107,0.0291,ZTF-r
60960.3626,18.3205,0.0199,ZTF-r
60960.3628,18.3288,0.0272,ZTF-r
60966.1939,17.8117,0.0444,ZTF-r
60966.1939,17.8117,0.0444,ZTF-r
60968.1909,17.4168,0.0352,ZTF-r
60968.1909,17.4168,0.0352,ZTF-r
60968.2162,17.8015,0.0552,ZTF-g
60968.2162,17.8015,0.0552,ZTF-g
60968.2164,17.7879,0.0110,ZTF-g
60968.2167,17.7831,0.0391,ZTF-g
60968.2167,17.7831,0.0391,ZTF-g
60968.2525,17.8421,0.0634,ZTF-g
60968.2525,17.8421,0.0634,ZTF-g
60968.2996,17.2992,0.0336,ZTF-r
60968.2996,17.2992,0.0336,ZTF-r
60969.1862,16.9020,0.0332,ZTF-r
60969.1862,16.9020,0.0332,ZTF-r
60970.1649,16.1255,0.0226,ZTF-r
60970.1649,16.1255,0.0226,ZTF-r
60970.1983,16.2098,0.0411,ZTF-r
60970.1983,16.2098,0.0411,ZTF-r
60970.2203,16.4838,0.0761,ZTF-g
60970.2203,16.4838,0.0761,ZTF-g
60970.3046,16.2201,0.0332,ZTF-g
60970.3046,16.2201,0.0332,ZTF-g
60970.3050,16.2312,0.0298,ZTF-g
60970.3050,16.2312,0.0298,ZTF-g
60971.6643,15.4512,0.0361,GIT-r'
60971.6819,15.2905,0.0307,GIT-i'
60971.6863,15.6704,0.0393,GIT-g'
60972.2393,15.3922,0.0247,ZTF-r
60972.2393,15.3922,0.0247,ZTF-r
60972.3012,15.5756,0.0260,ZTF-g
60972.3012,15.5756,0.0260,ZTF-g
60972.4090,15.3128,0.0243,ZTF-r
60972.4090,15.3128,0.0243,ZTF-r
60973.1664,15.1375,0.0341,ZTF-r
60973.1664,15.1375,0.0341,ZTF-r
60973.1669,15.1425,0.0296,ZTF-r
60973.1669,15.1425,0.0296,ZTF-r
60973.7558,14.9264,0.0386,GIT-i'
60973.7601,15.2652,0.0646,GIT-g'
60973.7644,15.0154,0.0487,GIT-r'
60974.2643,15.1827,0.0243,ZTF-r
60974.2643,15.1827,0.0243,ZTF-r
60974.3086,15.2449,0.0247,ZTF-g
60974.3086,15.2449,0.0247,ZTF-g
60974.3091,15.2465,0.0229,ZTF-g
60974.3091,15.2465,0.0229,ZTF-g
60974.3165,15.2527,0.0170,ZTF-g
60974.3165,15.2527,0.0170,ZTF-g
60974.5468,14.7832,0.0597,GIT-z'
60974.5602,14.8592,0.0361,GIT-i'
60974.5645,15.1690,0.0343,GIT-g'
60974.5688,14.9328,0.0758,GIT-r'
60975.1819,14.9064,0.0323,ZTF-r
60975.1819,14.9064,0.0323,ZTF-r
60975.1824,14.9182,0.0283,ZTF-r
60975.1824,14.9182,0.0283,ZTF-r
60975.2905,15.1710,0.0228,ZTF-g
60975.2905,15.1710,0.0228,ZTF-g
60975.2910,15.1745,0.0206,ZTF-g
60975.2910,15.1745,0.0206,ZTF-g
60975.5470,14.8164,0.0492,GIT-i'
60975.5556,15.1570,0.0394,GIT-g'
60975.5599,14.9148,0.0457,GIT-r'
60975.5642,14.6909,0.0708,GIT-z'
60976.2425,15.1767,0.0256,ZTF-g
60976.2425,15.1767,0.0256,ZTF-g
60976.3054,14.9584,0.0215,ZTF-r
60976.3054,14.9584,0.0215,ZTF-r
60976.5417,14.5944,0.1209,GIT-z'
60976.5550,14.8014,0.0528,GIT-i'
60976.5593,15.1468,0.0614,GIT-g'
60976.5636,14.8929,0.0384,GIT-r'
60977.2004,15.1914,0.0275,ZTF-g
60977.2004,15.1914,0.0275,ZTF-g
60977.2009,15.1880,0.0243,ZTF-g
60977.2009,15.1880,0.0243,ZTF-g
60977.5408,14.6390,0.0613,GIT-z'
60977.5540,14.7900,0.0420,GIT-i'
60977.5583,15.1339,0.0386,GIT-g'
60977.5648,14.8749,0.0307,GIT-r'
60978.2206,14.9739,0.0263,ZTF-r
60978.2206,14.9739,0.0263,ZTF-r
60978.2844,14.8522,0.0318,ZTF-r
60978.2844,14.8522,0.0318,ZTF-r
60978.2848,14.8472,0.0305,ZTF-r
60978.2848,14.8472,0.0305,ZTF-r
60978.3437,15.1966,0.0216,ZTF-g
60978.3437,15.1966,0.0216,ZTF-g
60978.5439,14.6114,0.0465,GIT-z'
60978.5530,14.7707,0.0342,GIT-i'
60978.5573,15.1555,0.0204,GIT-g'
60978.5616,14.8532,0.0387,GIT-r'
60979.1833,14.8484,0.0355,ZTF-r
60979.1833,14.8484,0.0355,ZTF-r
60979.1837,14.8718,0.0370,ZTF-r
60979.1837,14.8718,0.0370,ZTF-r
60979.6171,14.8737,0.0388,GIT-r'
60979.6214,15.1543,0.0686,GIT-g'
60979.6299,14.7485,0.0466,GIT-i'
60979.6410,14.6036,0.0455,GIT-z'
60980.2420,14.8285,0.0277,ZTF-r
60980.2420,14.8285,0.0277,ZTF-r
60980.2425,14.8222,0.0289,ZTF-r
60980.2425,14.8222,0.0289,ZTF-r
60980.3072,14.9154,0.0249,ZTF-r
60980.3072,14.9154,0.0249,ZTF-r
60980.4300,15.1835,0.0245,ZTF-g
60980.4300,15.1835,0.0245,ZTF-g
60980.5791,14.8422,0.0295,GIT-r'
