ra,dec,x_image,y_image,mjd,flux_bkg,local_bkg_flg,flags,fit_ql,deep_flg,det_id,lvf_id,obs_publisher_did,lambda,lambda_width,flux,flux_err
9.7025100,40.7689480,1232.5340576171875,1933.5828857421875,61040.727271258496,0.29095739126205444,False,2097152,4.943325519561768,False,1,202601101056421,ivo://irsa.ipac/spherex_qr2?2026W01_1A_0564_2/D1,0.7509989738464355,0.017761845141649246,10072.1318359375,122.05654907226562
9.7025100,40.7689480,1229.8067626953125,1819.0555419921875,61040.7287635155,0.3113171458244324,True,2097152,5.591811180114746,False,1,202601101056431,ivo://irsa.ipac/spherex_qr2?2026W01_1A_0564_3/D1,0.7685973644256592,0.018419140949845314,10190.8046875,121.52336883544922
9.7025100,40.7689480,1227.0736083984375,1704.53662109375,61040.730255772505,0.32169008255004883,True,2097152,4.5105767250061035,False,1,202601101056441,ivo://irsa.ipac/spherex_qr2?2026W01_1A_0564_4/D1,0.7868849039077759,0.019113881513476372,9967.51953125,122.23841857910156
9.7025100,40.7689480,1224.2789306640625,1589.7286376953125,61041.543356895,0.3209019899368286,True,2097152,4.400433540344238,False,1,202601201000911,ivo://irsa.ipac/spherex_qr2?2026W01_2A_0009_1/D1,0.8056142330169678,0.019925588741898537,9312.59375,114.60337829589844
9.7025100,40.7689480,1221.4537353515625,1475.0205078125,61041.544849152,0.31114354729652405,True,2097152,4.075089454650879,False,1,202601201000921,ivo://irsa.ipac/spherex_qr2?2026W01_2A_0009_2/D1,0.8249816298484802,0.019902987405657768,10088.443359375,117.5477523803711
9.7025100,40.7689480,1218.67919921875,1360.2755126953125,61041.5463413975,0.33024653792381287,True,2097152,5.12790584564209,False,1,202601201000931,ivo://irsa.ipac/spherex_qr2?2026W01_2A_0009_3/D1,0.8443047404289246,0.02086772955954075,10445.9248046875,121.05855560302734
9.7025100,40.7689480,1215.9278564453125,1245.408203125,61041.547833666,0.323021799325943,True,2097152,3.8223891258239746,False,1,202601201000941,ivo://irsa.ipac/spherex_qr2?2026W01_2A_0009_4/D1,0.8641111850738525,0.021681198850274086,11645.0703125,123.10089874267578
9.7025100,40.7689480,1688.8482666015625,1229.5418701171875,61034.140032254,0.29628539085388184,False,2097152,5.822458744049072,False,1,202552101063611,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0636_1/D1,0.8709118962287903,0.0221269391477108,11510.681640625,125.68190002441406
9.7025100,40.7689480,1686.417236328125,1114.53515625,61034.141524511,0.31133216619491577,False,2097152,5.595149517059326,False,1,202552101063621,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0636_2/D1,0.8918781876564026,0.02308540605008602,12688.04296875,127.89537048339844
9.7025100,40.7689480,1683.9735107421875,999.5225830078125,61034.1430167565,0.3146294057369232,False,4565499905,5.7810258865356445,False,1,202552101063631,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0636_3/D1,0.9130750894546509,0.023174472153186798,11062.091796875,123.57979583740234
