wavs,fluxes,fluxerrs
4.900400095357327,0.0034731924011624626,5.301989180529235e-05
4.901200095337117,0.0034143472696331776,5.0168818003158006e-05
4.902000095316907,0.003326066245156477,4.770239413932989e-05
4.902800095296698,0.0033535921328795982,4.770384917633952e-05
4.903600095276488,0.0030622808673410203,5.033768278144161e-05
4.904400095256278,0.003204643127987529,5.483999222875954e-05
4.905200095236069,0.0030556922149779842,5.489909170385055e-05
4.906000095215859,0.002976127485524185,5.15018308940509e-05
4.906800095195649,0.00311397868874165,4.764681676530592e-05
4.9076000951754395,0.0029544274128114984,4.675734462416268e-05
4.90840009515523,0.0032141252891152022,4.972328559173835e-05
4.90920009513502,0.003493367866320384,5.265430815308047e-05
4.91000009511481,0.003624814386989883,5.31810639201757e-05
4.910800095094601,0.00364411962502532,5.0870525274312015e-05
4.911600095074391,0.0031824163088830923,4.847613074811528e-05
4.912400095054181,0.003230404041311093,4.9593551182655125e-05
4.913200095033972,0.003224466509813197,5.294068411373395e-05
4.914000095013762,0.003304370311946259,5.392873487206699e-05
4.914800094993552,0.0030899526824799553,5.155458697128094e-05
4.9156000949733425,0.003099033366544127,4.7719054899130206e-05
4.916400094953133,0.0032440560537652565,4.644131799372304e-05
4.917200094932923,0.0033585945571540767,4.864460422329759e-05
4.918000094912713,0.0037386069587346366,5.4051825417829045e-05
4.918800094892504,0.0036320773728459113,5.7177784513277486e-05
4.919600094872294,0.0034006937286838687,5.393935594704397e-05
4.920400094852084,0.0033673943693188326,4.961256184204856e-05
4.921200094831875,0.003306230059937505,4.730070413781139e-05
4.922000094811665,0.003572666901420153,4.862820946274139e-05
4.922800094791455,0.003234706642097104,5.14694744317424e-05
4.9236000947712455,0.0032296701358460926,5.32444484778696e-05
4.924400094751036,0.003401830828446868,5.1304825891086296e-05
4.925200094730826,0.003315629547980941,4.966966152986064e-05
4.926000094710616,0.003370118960703071,4.9745142579325264e-05
4.926800094690407,0.003286234525344004,5.109319383623978e-05
4.927600094670197,0.003619484135680263,5.434943473781001e-05
4.928400094649987,0.003712671514387238,5.47755014063413e-05
4.929200094629778,0.0035482687431055405,4.997144901105623e-05
4.930000094609568,0.0036103041842950752,4.8497849097788235e-05
4.930800094589358,0.0034274601755775436,4.896010470196527e-05
4.9316000945691485,0.003585493635158837,5.1780070688240935e-05
4.932400094548939,0.003328132282856948,5.488630211534962e-05
4.933200094528729,0.003329251781441713,5.576029904624245e-05
4.934000094508519,0.003281219888139316,5.179136825384968e-05
4.93480009448831,0.003115603845944281,4.905316530064852e-05
4.9356000944681,0.0033174531430430177,4.899429318922968e-05
4.93640009444789,0.00321437447638656,4.999876518613479e-05
4.937200094427681,0.0034381375279544657,5.253121089283827e-05
4.938000094407471,0.0033643769879314798,5.2748209827016375e-05
4.938800094387261,0.0033015020305272405,5.096566733012794e-05
4.9396000943670515,0.003404196062925106,5.1370200714702215e-05
4.940400094346842,0.003114776913333612,5.235451028068937e-05
4.941200094326632,0.0033303315568341046,5.296442874453221e-05
4.942000094306422,0.0032637428591023366,5.342321656048364e-05
4.942800094286213,0.0034216303081208567,5.229552399701858e-05
4.943600094266003,0.00355983875049383,4.8979729679663405e-05
4.944400094245793,0.0032360323597251275,4.87047030969769e-05
4.945200094225584,0.003317843191001453,5.109100123584031e-05
4.946000094205374,0.003164248257436747,5.267062012969363e-05
4.946800094185164,0.0032923962922526326,5.426216123152086e-05
4.9476000941649545,0.003278276205638204,5.393816019020155e-05
4.948400094144745,0.0032378447258064364,5.176865124827311e-05
4.949200094124535,0.0031706653728775388,4.992635052881926e-05
4.950000094104325,0.003142010138850109,5.01237946222389e-05
4.950800094084116,0.0034967595392747294,5.167225932588589e-05
4.951600094063906,0.0034057801559937476,5.2619760066608534e-05
4.952400094043696,0.0036517146924026802,5.326721585808544e-05
4.953200094023487,0.00366087479365678,5.2460868509172345e-05
4.954000094003277,0.0033244159602099283,5.125162237971821e-05
4.954800093983067,0.003253817220284171,5.167815180992664e-05
4.9556000939628575,0.003053258144093095,5.326650440300425e-05
4.956400093942648,0.0032322729364807254,5.398644537204375e-05
4.957200093922438,0.0030691200282227634,5.264649976792192e-05
4.958000093902228,0.003277050597364191,5.0283321811263536e-05
4.958800093882019,0.003434132087566913,5.0674987822186526e-05
4.959600093861809,0.0034155810926981456,4.982564332236754e-05
4.960400093841599,0.003594317416812767,5.285077201141643e-05
4.96120009382139,0.0035256086615265306,5.5830418125283636e-05
4.96200009380118,0.0035502479571114854,5.6581467662519806e-05
4.96280009378097,0.0033989798212037824,5.3074980732597876e-05
4.9636000937607605,0.0034171336069595136,5.0248032062921515e-05
4.964400093740551,0.0034935316322823907,4.897583367463922e-05
4.965200093720341,0.0035369304192794677,5.0291751014206665e-05
4.966000093700131,0.0034997601656515617,5.224573415747272e-05
4.966800093679922,0.0032830598672122066,5.3369790128715016e-05
4.967600093659712,0.0031697367955483813,5.2896992357146845e-05
4.968400093639502,0.003085887111322766,5.1799818521895137e-05
4.969200093619293,0.0031174765420778168,5.0961633663406186e-05
4.970000093599083,0.003230990514702859,5.190592557836637e-05
4.970800093578873,0.0033342522094396924,5.305450108934434e-05
4.9716000935586635,0.0034584439696485796,5.332841568037658e-05
4.972400093538454,0.003287933966311851,5.167715828870076e-05
4.973200093518244,0.0034953525014578346,5.0474375671667356e-05
4.974000093498034,0.003471949614560085,4.9097859120247925e-05
